metric,domain,task,a,b,n,mean_a,mean_b,delta_mean,dz,p_raw,p_fdr,p_bonf,sig_fdr_5pct,sig_bonf_5pct,winner
F1_CV,drugs,1,GPT-Schema,GPT-Free,11,0.8176,0.7736,0.0439,1.427,0.001953,0.006836,0.041016,True,True,GPT-Schema
F1_CV,drugs,1,GPT-Schema,GPT-Law,11,0.8176,0.7636,0.0539,3.226,0.000977,0.005127,0.020508,True,True,GPT-Schema
F1_CV,drugs,1,GPT-Schema,Raw-Facts,11,0.8176,0.7905,0.0271,1.375,0.000977,0.005127,0.020508,True,True,GPT-Schema
F1_CV,drugs,1,GPT-Free,GPT-Law,11,0.7736,0.7636,0.01,0.325,0.464844,0.542318,1.0,False,False,GPT-Free
F1_CV,drugs,1,GPT-Free,Raw-Facts,11,0.7736,0.7905,-0.0168,-0.44,0.147461,0.206445,1.0,False,False,Raw-Facts
F1_CV,drugs,1,GPT-Law,Raw-Facts,11,0.7636,0.7905,-0.0268,-1.32,0.00293,0.008789,0.061523,True,False,Raw-Facts
F1_CV,weapon,0,Manual,Hybrid-Manual,11,0.7656,0.7289,0.0367,0.637,0.041992,0.176367,0.881836,False,False,Manual
F1_CV,weapon,0,Manual,Hybrid-Full,11,0.7656,0.7422,0.0234,0.552,0.174805,0.333718,1.0,False,False,Manual
F1_CV,weapon,0,Manual,GPT-Schema,11,0.7656,0.737,0.0286,0.655,0.067383,0.193685,1.0,False,False,Manual
F1_CV,weapon,0,Manual,GPT-Free,11,0.7656,0.7023,0.0633,1.251,0.004883,0.068359,0.102539,False,False,Manual
F1_CV,weapon,0,Manual,GPT-Law,11,0.7656,0.7125,0.0531,0.959,0.013672,0.071777,0.287109,False,False,Manual
F1_CV,weapon,0,Manual,Raw-Facts,11,0.7656,0.7212,0.0444,0.578,0.053711,0.187988,1.0,False,False,Manual
F1_CV,weapon,0,Hybrid-Manual,Hybrid-Full,11,0.7289,0.7422,-0.0133,-0.245,0.413086,0.542175,1.0,False,False,Hybrid-Full
F1_CV,weapon,0,Hybrid-Manual,GPT-Schema,11,0.7289,0.737,-0.0081,-0.126,1.0,1.0,1.0,False,False,GPT-Schema
F1_CV,weapon,0,Hybrid-Manual,GPT-Free,11,0.7289,0.7023,0.0267,0.432,0.174805,0.333718,1.0,False,False,Hybrid-Manual
F1_CV,weapon,0,Hybrid-Manual,GPT-Law,11,0.7289,0.7125,0.0165,0.309,0.365234,0.511328,1.0,False,False,Hybrid-Manual
