domain,task,model,rep_a,rep_b,n_pairs,n12_a_right_b_wrong,n21_a_wrong_b_right,mcnemar_p,p_fdr_bh
drugs,binary_0,gpt52,gpt_free,hybrid_manual_gpt,100,2,6,0.2890625,0.7174801997245179
drugs,binary_0,gpt52,gpt_free,manual_fe,100,7,11,0.480682373046875,0.9127393427086078
drugs,binary_0,gpt52,gpt_law,hybrid_full_gpt,100,4,4,1.0,1.0
drugs,binary_0,gpt52,gpt_law,hybrid_gpt,100,2,0,0.5,0.9206017354124748
drugs,binary_0,gpt52,gpt_law,hybrid_manual_gpt,100,3,5,0.7265625,1.0
drugs,binary_0,gpt52,gpt_law,manual_fe,100,8,10,0.8145294189453125,1.0
drugs,binary_0,gpt52,hybrid_full_gpt,hybrid_gpt,100,4,2,0.6875,1.0
drugs,binary_0,gpt52,hybrid_full_gpt,hybrid_manual_gpt,100,3,5,0.7265625,1.0
drugs,binary_0,gpt52,hybrid_full_gpt,manual_fe,100,6,8,0.79052734375,1.0
drugs,binary_0,gpt52,hybrid_gpt,hybrid_manual_gpt,100,2,6,0.2890625,0.7174801997245179
drugs,binary_0,gpt52,hybrid_gpt,manual_fe,100,8,12,0.5034446716308594,0.9206017354124748
drugs,binary_0,gpt52,hybrid_manual_gpt,manual_fe,100,7,7,1.0,1.0
drugs,binary_0,gpt5mini,facts,fe_gpt_schema,100,3,7,0.34375,0.7928074853190658
drugs,binary_0,gpt5mini,facts,fe_manual_format,100,6,3,0.5078125,0.9206017354124748
drugs,binary_0,gpt5mini,facts,gpt_free,100,8,3,0.2265625,0.6736161957346267
drugs,binary_0,gpt5mini,facts,gpt_law,100,4,7,0.548828125,0.9537013319672131
drugs,binary_0,gpt5mini,facts,hybrid_full_gpt,100,6,8,0.79052734375,1.0
drugs,binary_0,gpt5mini,facts,hybrid_gpt,100,9,5,0.4239501953125,0.8650338374651395
drugs,binary_0,gpt5mini,facts,hybrid_manual_gpt,100,5,8,0.5810546875,0.9840794613486842
drugs,binary_0,gpt5mini,facts,manual_fe,100,7,11,0.480682373046875,0.9127393427086078
drugs,binary_0,gpt5mini,fe_gpt_schema,fe_manual_format,100,9,2,0.0654296875,0.39170862749169433
drugs,binary_0,gpt5mini,fe_gpt_schema,gpt_free,100,12,3,0.03515625,0.30632402378888357
drugs,binary_0,gpt5mini,fe_gpt_schema,gpt_law,100,4,3,1.0,1.0
drugs,binary_0,gpt5mini,fe_gpt_schema,hybrid_full_gpt,100,3,1,0.625,1.0
drugs,binary_0,gpt5mini,fe_gpt_schema,hybrid_gpt,100,10,2,0.03857421875,0.3248165522780374
drugs,binary_0,gpt5mini,fe_gpt_schema,hybrid_manual_gpt,100,4,3,1.0,1.0
drugs,binary_0,gpt5mini,fe_gpt_schema,manual_fe,100,7,7,1.0,1.0
drugs,binary_0,gpt5mini,fe_manual_format,gpt_free,100,8,6,0.79052734375,1.0
drugs,binary_0,gpt5mini,fe_manual_format,gpt_law,100,3,9,0.14599609375,0.5621473524305556
drugs,binary_0,gpt5mini,fe_manual_format,hybrid_full_gpt,100,4,9,0.266845703125,0.7003962701459333
drugs,binary_0,gpt5mini,fe_manual_format,hybrid_gpt,100,6,5,1.0,1.0
drugs,binary_0,gpt5mini,fe_manual_format,hybrid_manual_gpt,100,4,10,0.1795654296875,0.6179329675572519
