domain,rep,model,QWK_Oracle,QWK_CV,C_index,Spearman,Ordinal_AUC
weapon,GPT-Law,qwen3_vl_235b_or,0.6544769085768143,0.5878033856822353,0.8439972480220158,0.6677738947032499,0.8660733145572963
weapon,GPT-Law,qwen3_235b_or,0.6335805286176079,0.6335805286176079,0.8246474028207774,0.6320209759979724,0.8488140292202078
weapon,GPT-Law,mistral_large_or,0.5404444444444445,0.4817642069550466,0.7897316821465429,0.5725534265478119,0.8169820454145398
weapon,GPT-Law,deepseek_r1_or,0.6848794155909137,0.654754814373635,0.8452872377020983,0.6648421108863045,0.8692131666960041
weapon,Raw-Facts,gpt4,0.7134407134407135,0.6904267797527746,0.858703130374957,0.6902423323926955,0.8818473860235874
weapon,Raw-Facts,gpt5mini,0.6186710485775906,0.5241844769403825,0.8448572411420708,0.6514532288969183,0.8634637387783841
weapon,Raw-Facts,gpt52,0.7241244374877716,0.6757999616784824,0.8730650154798761,0.711952705030421,0.8953837352578772
weapon,Raw-Facts,gpt51_thinking,0.6914853713428357,0.6786324786324787,0.8513931888544891,0.675120592777325,0.8736160007041014
weapon,Raw-Facts,claude_sonnet_4_6,0.7510832932113625,0.7510832932113625,0.8693670450636395,0.710973367716081,0.894455201549023
weapon,Raw-Facts,gemini_25_pro,0.6626683708583228,0.6396894711305192,0.8377192982456141,0.6510488203276372,0.8572588452737194
weapon,Raw-Facts,gemini_3_flash,0.7104555314533623,0.6815496872828353,0.8552631578947368,0.6789648613898274,0.8754422636859709
weapon,Raw-Facts,gemma3_27b,0.689366686187568,0.689366686187568,0.8529411764705882,0.6940823684915853,0.8809452561168809
weapon,Raw-Facts,gemma4_31b_or,0.6744707833382109,0.6407161536914101,0.8545751633986928,0.6791547120205044,0.8755544798450977
weapon,Raw-Facts,llama3_70b,0.6608028867839422,0.6475657526580861,0.835827313381493,0.6692153815395068,0.8546756732969547
weapon,Raw-Facts,qwen3_vl_235b_or,0.6922534501863604,0.6564063101192766,0.8555211558307534,0.686258739169761,0.8788461538461538
weapon,Raw-Facts,qwen3_235b_or,0.6717398102783279,0.6065557236510337,0.8347093223254214,0.6637344229072301,0.8696268262629818
weapon,Raw-Facts,mistral_large_or,0.5543978222097061,0.5303072756140843,0.7788957688338494,0.5531068371534871,0.8051949480725225
weapon,Raw-Facts,deepseek_r1_or,0.6451273046532046,0.6199911150599734,0.8329033367733059,0.6469260402865683,0.8551047350818518
weapon,Hybrid-Manual,gpt4,0.7857956703380174,0.7604116572088102,0.9114207086343309,0.7795485476867257,0.9313721175849322
weapon,Hybrid-Manual,gpt5mini,0.7729916214884179,0.7312640392076781,0.9064327485380117,0.7652641499569152,0.9283268790705863
weapon,Hybrid-Manual,gpt52,0.7549916396183731,0.7339968774395005,0.9044547643618851,0.7601149529291532,0.9215565041365956
weapon,Hybrid-Manual,gpt51_thinking,0.8151468032561968,0.8151468032561968,0.9185586515307878,0.7841488928636252,0.9347540045766591
weapon,Hybrid-Manual,claude_sonnet_4_6,0.7676488036385208,0.7202653917455362,0.9096147230822154,0.7765371434953173,0.9289055624009859
weapon,Hybrid-Manual,gemini_25_pro,0.6732106339468302,0.6516337822319658,0.8551771585827314,0.6878283639580574,0.8754708678049639
weapon,Hybrid-Manual,gemini_3_flash,0.7784937962873906,0.7616496029088126,0.9049707602339181,0.7626086356412277,0.9233629642668544
weapon,Hybrid-Manual,gemma3_27b,0.6258312259998127,0.5715317266901345,0.8300653594771242,0.6498841079923546,0.8492782960746348
weapon,Hybrid-Manual,gemma4_31b_or,0.7696884844242212,0.7696884844242212,0.9075507395940833,0.7680068275590928,0.9264016018306637
weapon,Hybrid-Manual,llama3_70b,0.5906001722982674,0.5313577485788836,0.8223254213966288,0.6210794067715251,0.8389610103854955
weapon,Hybrid-Manual,qwen3_vl_235b_or,0.7348377997179125,0.7005773442166037,0.8949088407292741,0.7455085056106092,0.9124537933462419
weapon,Hybrid-Manual,qwen3_235b_or,0.76643225503985,0.7403314917127071,0.9012727898176814,0.7574480061653,0.9178115648653407
