domain,task,rep,model,n,pos,AP,AUC,best_F1,precision,recall,accuracy,best_thr
weapon,lenient,H-Manual,claude_sonnet_4_6,141,62,0.8924,0.9229,0.8369,0.7468,0.9516,0.8369,28.0
weapon,lenient,H-Manual,gemini_25_pro,141,62,0.8286,0.8828,0.7914,0.7143,0.8871,0.7943,20.0
weapon,lenient,H-Manual,gemini_3_flash,141,62,0.876,0.917,0.8358,0.7778,0.9032,0.844,45.0
weapon,lenient,H-Manual,gemma3_27b,141,62,0.7343,0.8348,0.7714,0.6923,0.871,0.773,40.0
weapon,lenient,H-Manual,gemma4_31b_or,141,62,0.8443,0.9158,0.8406,0.7632,0.9355,0.844,35.0
weapon,lenient,H-Manual,gpt4,141,62,0.9145,0.9339,0.831,0.7375,0.9516,0.8298,35.0
weapon,lenient,H-Manual,gpt51_thinking,141,62,0.9131,0.9371,0.8571,0.8028,0.9194,0.8652,42.0
weapon,lenient,H-Manual,gpt52,141,62,0.8942,0.9212,0.8201,0.7403,0.9194,0.8227,42.0
weapon,lenient,H-Manual,gpt5mini,141,62,0.8815,0.9205,0.8322,0.7126,1.0,0.8227,40.0
weapon,lenient,H-Manual,llama3_70b,141,62,0.7531,0.8272,0.7389,0.6105,0.9355,0.7092,40.0
weapon,lenient,H-Manual,qwen3_vl_235b_or,141,62,0.836,0.8954,0.8056,0.7073,0.9355,0.8014,35.0
weapon,lenient,H-Full,claude_sonnet_4_6,141,62,0.8812,0.9164,0.8437,0.8182,0.871,0.8582,38.0
weapon,lenient,H-Full,gemini_25_pro,141,62,0.8697,0.9112,0.816,0.8095,0.8226,0.8369,25.0
weapon,lenient,H-Full,gemini_3_flash,141,62,0.8933,0.913,0.848,0.8413,0.8548,0.8652,58.0
weapon,lenient,H-Full,gemma3_27b,141,62,0.6943,0.8041,0.7417,0.6292,0.9032,0.7234,40.0
weapon,lenient,H-Full,gemma4_31b_or,141,62,0.879,0.9162,0.8264,0.8475,0.8065,0.8511,45.0
weapon,lenient,H-Full,gpt4,141,62,0.8304,0.8801,0.8033,0.8167,0.7903,0.8298,55.0
weapon,lenient,H-Full,gpt51_thinking,141,62,0.8689,0.9058,0.8154,0.7794,0.8548,0.8298,47.0
weapon,lenient,H-Full,gpt52,141,62,0.8476,0.8887,0.8065,0.8065,0.8065,0.8298,56.0
weapon,lenient,H-Full,gpt5mini,141,62,0.8472,0.8865,0.8,0.7179,0.9032,0.8014,45.0
weapon,lenient,H-Full,llama3_70b,141,62,0.7445,0.8448,0.7846,0.75,0.8226,0.8014,42.0
weapon,lenient,H-Full,qwen3_vl_235b_or,141,62,0.8072,0.8746,0.8,0.8276,0.7742,0.8298,40.0
weapon,lenient,GPT-Schema,claude_sonnet_4_6,141,62,0.8216,0.885,0.8136,0.8571,0.7742,0.844,47.0
weapon,lenient,GPT-Schema,gemini_25_pro,141,62,0.7788,0.8362,0.7482,0.6753,0.8387,0.7518,25.0
weapon,lenient,GPT-Schema,gemini_3_flash,141,62,0.8579,0.8924,0.8034,0.8545,0.7581,0.8369,68.0
weapon,lenient,GPT-Schema,gemma3_27b,141,62,0.6709,0.793,0.7407,0.6,0.9677,0.7021,40.0
weapon,lenient,GPT-Schema,gemma4_31b_or,141,62,0.842,0.8977,0.8244,0.7826,0.871,0.8369,40.0
weapon,lenient,GPT-Schema,gpt4,141,62,0.809,0.8514,0.75,0.7759,0.7258,0.7872,65.0
weapon,lenient,GPT-Schema,gpt51_thinking,141,62,0.8387,0.8774,0.7833,0.8103,0.7581,0.8156,65.0
weapon,lenient,GPT-Schema,gpt52,141,62,0.8194,0.8653,0.7797,0.8214,0.7419,0.8156,62.0
weapon,lenient,GPT-Schema,gpt5mini,141,62,0.7954,0.8555,0.7612,0.7083,0.8226,0.773,58.0
weapon,lenient,GPT-Schema,llama3_70b,141,62,0.6596,0.7823,0.7376,0.6582,0.8387,0.7376,52.0
weapon,lenient,GPT-Schema,qwen3_vl_235b_or,141,62,0.7299,0.8263,0.7376,0.6582,0.8387,0.7376,40.0
weapon,lenient,Raw-Facts,claude_sonnet_4_6,141,62,0.8884,0.8952,0.8154,0.7794,0.8548,0.8298,38.0
weapon,lenient,Raw-Facts,gemini_25_pro,141,62,0.8271,0.8633,0.7812,0.7576,0.8065,0.8014,30.0
weapon,lenient,Raw-Facts,gemini_3_flash,141,62,0.8225,0.8706,0.7869,0.8,0.7742,0.8156,68.0
weapon,lenient,Raw-Facts,gemma3_27b,141,62,0.7935,0.8582,0.8062,0.7761,0.8387,0.8227,60.0
weapon,lenient,Raw-Facts,gemma4_31b_or,141,62,0.8098,0.8585,0.7556,0.6986,0.8226,0.766,40.0
weapon,lenient,Raw-Facts,gpt4,141,62,0.8396,0.8673,0.7788,0.8627,0.7097,0.8227,70.0
weapon,lenient,Raw-Facts,gpt51_thinking,141,62,0.8252,0.8635,0.7887,0.7,0.9032,0.7872,58.0
weapon,lenient,Raw-Facts,gpt52,141,62,0.8676,0.8903,0.7903,0.7903,0.7903,0.8156,62.0
weapon,lenient,Raw-Facts,gpt5mini,141,62,0.8004,0.8472,0.7403,0.6196,0.9194,0.7163,45.0
weapon,lenient,Raw-Facts,llama3_70b,141,62,0.7956,0.859,0.7917,0.6951,0.9194,0.7872,60.0
weapon,lenient,Raw-Facts,qwen3_vl_235b_or,141,62,0.8481,0.88,0.7746,0.6875,0.8871,0.773,35.0
