domain,rep_a,rep_b,metric,n_models,mean_a,mean_b,diff_a_minus_b,wilcoxon_W,p_value,p_fdr_bh,sig_005
drugs,gpt_free,hybrid_full_gpt,C_index,8,0.9158941272390835,0.9359442015660604,-0.02005007432697692,6.0,0.109375,0.1640625,False
drugs,gpt_free,hybrid_manual_gpt,C_index,8,0.9158941272390835,0.9312103802040393,-0.015316252964955868,4.0,0.0546875,0.095703125,False
drugs,gpt_free,manual_fe,C_index,8,0.9158941272390835,0.9390968864315509,-0.023202759192467393,1.0,0.015625,0.046875,True
drugs,gpt_law,hybrid_full_gpt,C_index,8,0.8929681141172512,0.9359442015660604,-0.04297608744880921,0.0,0.0078125,0.02734375,True
drugs,gpt_law,hybrid_manual_gpt,C_index,8,0.8929681141172512,0.9312103802040393,-0.03824226608678816,0.0,0.0078125,0.02734375,True
drugs,gpt_law,manual_fe,C_index,8,0.8929681141172512,0.9390968864315509,-0.04612877231429968,0.0,0.0078125,0.02734375,True
drugs,hybrid_full_gpt,hybrid_manual_gpt,C_index,8,0.9359442015660604,0.9312103802040393,0.004733821362021051,9.0,0.25,0.3088235294117647,False
drugs,hybrid_full_gpt,manual_fe,C_index,8,0.9359442015660604,0.9390968864315509,-0.0031526848654904738,11.0,0.3828125,0.44661458333333337,False
drugs,hybrid_manual_gpt,manual_fe,C_index,8,0.9312103802040393,0.9390968864315509,-0.007886506227511525,9.0,0.25,0.3088235294117647,False
weapon,facts,fe_gpt_schema,C_index,8,0.8982380349461214,0.8214059668309119,0.07683206811520948,0.0,0.0078125,0.0205078125,True
weapon,facts,gpt_free,C_index,8,0.8982380349461214,0.8718933436825449,0.026344691263576525,2.0,0.0234375,0.03786057692307692,True
weapon,facts,gpt_law,C_index,8,0.8982380349461214,0.878785445400492,0.01945258954562945,1.0,0.015625,0.029829545454545452,True
weapon,facts,hybrid_full_gpt,C_index,8,0.8982380349461214,0.9126228941147831,-0.014384859168661723,5.0,0.078125,0.1025390625,False
weapon,facts,hybrid_manual_gpt,C_index,8,0.8982380349461214,0.8939026146067031,0.004335420339418361,16.0,0.84375,0.8859375,False
weapon,facts,manual_fe,C_index,8,0.8982380349461214,0.9139202060347655,-0.015682171088644115,9.0,0.25,0.2916666666666667,False
weapon,fe_gpt_schema,gpt_free,C_index,8,0.8214059668309119,0.8718933436825449,-0.05048737685163296,0.0,0.0078125,0.0205078125,True
weapon,fe_gpt_schema,gpt_law,C_index,8,0.8214059668309119,0.878785445400492,-0.057379478569580034,0.0,0.0078125,0.0205078125,True
weapon,fe_gpt_schema,hybrid_full_gpt,C_index,8,0.8214059668309119,0.9126228941147831,-0.09121692728387121,0.0,0.0078125,0.0205078125,True
weapon,fe_gpt_schema,hybrid_manual_gpt,C_index,8,0.8214059668309119,0.8939026146067031,-0.07249664777579112,0.0,0.0078125,0.0205078125,True
