n,QWK_scale,C_index,Spearman,AP_strict,AP_lenient,F1_strict_oracle,F1_lenient_oracle,F1_strict_t50,F1_lenient_t50,model,rep,domain
100,0.748641304347826,0.9315680880330124,0.794481032490079,0.9598648477958823,0.9063740279234265,0.9189189189184203,0.823529411764206,0.7,0.7652173913043478,gpt51_thinking,manual_fe,drugs
141,0.7626916368309924,0.9414651881476095,0.7868906415665121,0.8423560606519406,0.9146756138732566,0.8089887640444443,0.8548387096769205,0.6865671641791045,0.8235294117647058,gpt51_thinking,manual_fe,weapon
100,0.7476022211004543,0.9172366621067032,0.766398888616327,0.9377981366459627,0.8874238538826555,0.9295774647882323,0.8190476190471202,0.7816091954022989,0.803921568627451,gpt52,facts,drugs
141,0.6773056225644832,0.9258913571028561,0.7572421964844191,0.7826694933590721,0.8922754440943395,0.7741935483865968,0.8396946564880496,0.711864406779661,0.8175182481751825,gpt52,facts,weapon
100,0.6756082345601997,0.8933426280934124,0.7245095647068391,0.88247813814825,0.8757298223487278,0.8169014084502044,0.7964601769906571,0.7619047619047619,0.7878787878787878,gpt52,fe_gpt_schema,drugs
141,0.41353090271008,0.8084320963668156,0.5289556861085334,0.6334462445210449,0.7628352943718145,0.63917525773146,0.7050359712225236,0.5794392523364486,0.6825396825396826,gpt52,fe_gpt_schema,weapon
100,0.7136465324384788,0.932920536635707,0.7828435460004104,0.9260658736112599,0.896246848750551,0.8787878787873806,0.8411214953266049,0.85,0.8,gpt52,gpt_free,drugs
141,0.5904469904792642,0.8989656446250461,0.7131257864431387,0.7500031981498465,0.8784656080352315,0.7599999999995031,0.8396946564880496,0.7169811320754716,0.816,gpt52,gpt_free,weapon
100,0.724622030237581,0.9124439848328163,0.7523362344009099,0.9139236430998444,0.8825306353700275,0.8767123287666241,0.8108108108103157,0.7555555555555555,0.8,gpt52,gpt_law,drugs
141,0.6698706099815157,0.8943688586545729,0.6955697602737825,0.7658013313919253,0.8578243990522767,0.773584905659886,0.8188976377947759,0.7522935779816514,0.8125,gpt52,gpt_law,weapon
100,0.70386039132734,0.9265362169584621,0.777966581198941,0.9159979901051329,0.8823552583405102,0.8831168831163873,0.8316831683163315,0.8,0.82,gpt52,hybrid_full_gpt,drugs
141,0.5993800852382798,0.9191258871871498,0.7378270927077922,0.7810101638739153,0.8783339604804383,0.7476635514013789,0.8412698412693416,0.7068965517241379,0.8,gpt52,hybrid_full_gpt,weapon
100,0.7356828193832599,0.9265010351966874,0.7796843919055783,0.9316196028753633,0.8931482254597918,0.8955223880592024,0.8297872340420551,0.7906976744186046,0.8118811881188119,gpt52,hybrid_manual_gpt,drugs
141,0.5934626240553582,0.9217654858874786,0.7306174163865342,0.7821118748638617,0.8671917709428703,0.722222222221733,0.8169014084502079,0.7068965517241379,0.8,gpt52,hybrid_manual_gpt,weapon
100,0.7678185745140389,0.9379310344827586,0.8028812082161464,0.9535297739785571,0.9161941914484408,0.9253731343278592,0.8367346938770511,0.7391304347826086,0.8037383177570093,gpt52,manual_fe,drugs
141,0.6027925776226346,0.9154722528482175,0.7358566124374969,0.8218845859219506,0.8701550388298831,0.7954545454540465,0.8181818181813183,0.6612903225806451,0.7692307692307693,gpt52,manual_fe,weapon
100,0.6426799007444168,0.9377532228360957,0.7554851735358088,0.8552226982639354,0.8714296882836386,0.8192771084332472,0.8599999999994998,0.6538461538461539,0.7899159663865546,llama3_70b,facts,drugs
