domain,representation,model,f1_b0_old,f1_b0_new,f1_b1_old,f1_b1_new
weapon,with_gpt_features,qwen_hf,0.6481481481481481,0.6436781609195402,0.76,0.7814569536423841
weapon,fe_gpt_schema_v2,gpt4,0.7,0.7216494845360825,0.7819548872180451,0.8059701492537313
weapon,fe_gpt_schema_v2,qwen3_235b,0.6875,0.7073170731707317,0.7671232876712328,0.7891156462585034
weapon,fe,llama3_70b,0.544,0.5245901639344263,0.726027397260274,0.7482993197278912
weapon,with_indicment_facts,llama3_70b,0.5806451612903226,0.5970149253731343,0.7172413793103448,0.7397260273972602
weapon,fe_gpt_schema_v2,gpt52,0.7608695652173914,0.7865168539325843,0.7964601769911505,0.8245614035087719
weapon,fe_gpt_schema_v2,gemma3_27b,0.6086956521739131,0.6363636363636364,0.7388535031847133,0.7468354430379747
weapon,with_gpt_law_features,gpt4,0.6262626262626263,0.6666666666666666,0.75,0.7768595041322314
weapon,hybrid_full_gpt,gpt5mini,0.7058823529411765,0.7346938775510204,0.8108108108108109,0.8378378378378378
weapon,with_gpt_features,gpt4,0.7160493827160493,0.7692307692307693,0.7457627118644068,0.773109243697479
weapon,with_gpt_features,claude_sonnet_4_6,0.6923076923076923,0.7466666666666667,0.7786259541984732,0.803030303030303
weapon,with_gpt_law_features,claude_sonnet_4_6,0.6666666666666666,0.6862745098039216,0.7887323943661971,0.8111888111888111
weapon,hybrid,gemini_25_pro,0.72,0.7216494845360825,0.8264462809917356,0.8360655737704918
weapon,hybrid,gpt4,0.7567567567567568,0.7605633802816901,0.8027210884353742,0.8243243243243243
weapon,hybrid,qwen_hf,0.6796116504854369,0.7,0.7741935483870968,0.8
weapon,fe_gpt_schema_v2,llama3_70b,0.5294117647058824,0.5538461538461539,0.654320987654321,0.6748466257668712
weapon,hybrid_full_gpt,gpt51_thinking,,,,
weapon,hybrid_full_gpt,qwen3_235b,0.6944444444444444,0.6896551724137931,0.8095238095238095,0.8333333333333334
weapon,hybrid,gpt51_thinking,0.7619047619047619,0.7901234567901234,0.8142857142857143,0.8368794326241135
weapon,with_indicment_facts,gemma3_27b,0.7102803738317757,0.7115384615384616,0.7878787878787878,0.7969924812030075
weapon,fe,gemma3_27b,0.6451612903225806,0.628099173553719,0.8053691275167785,0.8133333333333334
weapon,fe,gemini_3_flash,0.7128712871287128,0.7631578947368421,0.8549618320610687,0.8787878787878788
weapon,with_gpt_law_features,gemini_3_flash,0.68,0.7216494845360825,0.7868852459016393,0.8130081300813008
weapon,with_gpt_law_features,gpt5mini,0.6206896551724138,0.6666666666666666,0.7577639751552795,0.7721518987341772
weapon,hybrid,gemma3_27b,0.6728971962616822,0.6538461538461539,0.7714285714285715,0.7801418439716312
weapon,fe_gpt_schema_v2,gpt51_thinking,0.72,0.75,0.7671232876712328,0.7891156462585034
weapon,with_gpt_features,gemini_3_flash,0.7333333333333333,0.7816091954022989,0.7647058823529411,0.7883211678832117
weapon,with_gpt_law_features,gemma3_27b,0.578125,0.5970149253731343,0.7516778523489933,0.7733333333333333
weapon,fe_gpt_schema_v2,qwen_hf,0.6285714285714286,0.675,0.7284768211920529,0.75
weapon,hybrid_full_gpt,gpt4,0.7111111111111111,0.7631578947368421,0.8057553956834532,0.8285714285714286
weapon,hybrid_full_gpt,qwen_hf,,,,
weapon,with_indicment_facts,gpt4,0.7586206896551724,0.8095238095238095,0.7777777777777778,0.7966101694915254
weapon,hybrid,claude_sonnet_4_6,0.7469879518072289,0.8,0.8321167883211679,0.855072463768116
weapon,hybrid,gpt52,0.7608695652173914,0.7640449438202247,0.8296296296296296,0.8529411764705882
weapon,with_gpt_features,qwen3_235b,0.7037037037037037,0.6857142857142857,0.7596899224806202,0.7846153846153846
weapon,fe,qwen_hf,0.673469387755102,0.6947368421052632,0.8115942028985508,0.8345323741007195
weapon,with_gpt_law_features,llama3_70b,0.5669291338582677,0.5645161290322581,0.7297297297297297,0.738255033557047
weapon,with_indicment_facts,gpt51_thinking,0.7252747252747253,0.75,0.7878787878787878,0.8120300751879699
weapon,fe_gpt_schema_v2,gemini_25_pro,0.6987951807228916,0.71875,0.7741935483870968,0.784
weapon,hybrid,llama3_70b,0.6153846153846154,0.6336633663366337,0.72,0.746031746031746
