verdict,domain,in_deg,out_deg,low,high,year,court
תפ_1338-12-20,drugs,0,5,15.0,30.0,2020,תפ
תפ_44181-01-17,drugs,2,1,24.0,48.0,2017,תפ
תפ_34753-10-20,drugs,0,0,24.0,48.0,2020,תפ
תפ_39259-05-22,drugs,0,1,3.0,12.0,2022,תפ
תפח_12549-10-17,weapon,0,0,12.0,84.0,2017,תפח
תפח_26879-11-12,weapon,0,2,72.0,96.0,2012,תפח
תפ_30867-06-22,weapon,0,0,12.0,32.0,2022,תפ
תפ_38423-03-23,weapon,0,0,10.0,24.0,2023,תפ
תפ_10427-03-22,drugs,1,0,6.0,18.0,2022,תפ
תפ_56293-06-21,drugs,0,1,18.0,36.0,2021,תפ
תפ_46930-03-22,weapon,0,13,42.0,60.0,2022,תפ
תפ_3002-09-20,weapon,0,1,30.0,60.0,2020,תפ
תפ_29947-07-23,weapon,0,1,42.0,72.0,2023,תפ
תפ_41828-05-15,drugs,0,0,12.0,18.0,2015,תפ
תפ_21280-11-18,drugs,4,3,8.0,18.0,2018,תפ
תפ_11167-01-23,weapon,0,6,20.0,36.0,2023,תפ
תפ_39391-05-23,drugs,2,0,7.0,16.0,2023,תפ
תפ_12589-04-23,drugs,0,0,40.0,60.0,2023,תפ
תפ_17125-03-24,weapon,0,0,30.0,42.0,2024,תפ
תפ_18203-04-19,drugs,0,1,15.0,36.0,2019,תפ
תפ_33804-01-12,drugs,3,0,6.0,18.0,2012,תפ
תפ_42223-07-16,weapon,0,2,12.0,36.0,2016,תפ
תפ_7926-07-18,drugs,0,0,0.0,9.0,2018,תפ
תפ_54373-08-16,drugs,2,0,18.0,36.0,2016,תפ
תפח_31367-12-17,weapon,0,1,48.0,72.0,2017,תפח
תפ_9384-04-20,weapon,3,8,12.0,30.0,2020,תפ
תפ_8542-11-21,weapon,1,0,18.0,36.0,2021,תפ
עפ_2432-15,weapon,2,0,8.0,24.0,2015,עפ
תפ_33774-05-23,weapon,0,0,12.0,26.0,2023,תפ
תפח_51122-01-13,weapon,0,1,36.0,72.0,2013,תפח
תפ_35208-03-22,drugs,0,5,7.0,20.0,2022,תפ
תפ_62924-03-22,weapon,0,0,2.0,14.0,2022,תפ
תפ_1582-08-23,drugs,0,1,10.0,24.0,2023,תפ
תפ_13781-01-24,drugs,0,0,9.0,24.0,2024,תפ
תפ_40239-09-17,drugs,2,0,42.0,96.0,2017,תפ
תפ_48394-03-21,drugs,0,0,24.0,48.0,2021,תפ
תפ_35986-05-18,drugs,0,0,6.0,28.0,2018,תפ
תפ_20931-12-20,drugs,0,0,10.0,20.0,2020,תפ
תפ_1509-03-12,weapon,1,0,6.0,20.0,2012,תפ
תפ_50330-07-16,drugs,1,0,6.0,12.0,2016,תפ
תפ_8468-10-15,drugs,0,0,8.0,24.0,2015,תפ
תפ_62222-12-16,drugs,0,0,0.0,7.0,2016,תפ
תפ_46786-04-18,drugs,5,0,48.0,78.0,2018,תפ
תפ_332-10-16,drugs,1,0,24.0,60.0,2016,תפ
תפ_60385-08-16,drugs,0,1,6.0,14.0,2016,תפ
תפ_962-06-20,weapon,1,0,36.0,60.0,2020,תפ
תפ_23218-06-19,weapon,0,0,8.0,24.0,2019,תפ
תפ_40811-07-23,weapon,0,0,54.0,90.0,2023,תפ
תפ_27432-10-16,drugs,0,0,6.0,18.0,2016,תפ
תפ_20012-01-16,weapon,0,1,6.0,12.0,2016,תפ
תפ_45961-07-17,drugs,0,1,5.0,12.0,2017,תפ
תפ_7342-04-19,drugs,0,0,0.0,8.0,2019,תפ
תפ_52790-03-18,weapon,1,3,36.0,72.0,2018,תפ
תפ_66982-09-16,drugs,0,2,3.0,5.0,2016,תפ
תפ_48772-11-20,weapon,0,1,14.0,30.0,2020,תפ
תפ_39333-05-22,drugs,0,1,8.0,18.0,2022,תפ
תפ_63596-02-18,drugs,2,0,10.0,36.0,2018,תפ
תפ_52417-01-13,drugs,0,0,6.0,24.0,2013,תפ
תפ_15962-11-23,weapon,0,0,28.0,42.0,2023,תפ
תפ_57270-05-13,weapon,0,1,9.0,24.0,2013,תפ
תפ_58723-03-16,drugs,0,2,6.0,18.0,2016,תפ
תפ_44015-11-21,drugs,2,0,0.0,12.0,2021,תפ
תפח_56363-07-20,weapon,0,9,36.0,56.0,2020,תפח
תפ_39807-03-12,drugs,0,0,5.0,18.0,2012,תפ
