metric,domain,a,b,n,mean_a,mean_b,delta,dz,wins,p_raw,p_fdr,p_bonf,sig_fdr_5pct
Kendall,drugs,GPT-Schema,Raw-Facts,11,0.651,0.6183,0.0328,1.382,11,0.000488,0.001464,0.002928,True
Kendall,drugs,GPT-Free,Manual,11,0.625,0.6693,-0.0443,-2.541,0,1.0,1.0,1.0,False
Kendall,drugs,GPT-Free,Hybrid-Manual,11,0.625,0.6545,-0.0296,-1.43,1,0.999023,1.0,1.0,False
Kendall,drugs,GPT-Free,Hybrid-Full,11,0.625,0.6451,-0.0201,-0.961,2,0.996582,1.0,1.0,False
Kendall,drugs,GPT-Free,GPT-Schema,11,0.625,0.651,-0.0261,-1.03,2,0.993164,1.0,1.0,False
Kendall,drugs,GPT-Free,GPT-Law,11,0.625,0.5941,0.0308,1.492,10,0.000977,0.005862,0.005862,True
Kendall,drugs,GPT-Free,Raw-Facts,11,0.625,0.6183,0.0067,0.506,7,0.087402,0.262206,0.524412,False
Kendall,drugs,GPT-Law,Manual,11,0.5941,0.6693,-0.0751,-3.403,0,1.0,1.0,1.0,False
Kendall,drugs,GPT-Law,Hybrid-Manual,11,0.5941,0.6545,-0.0604,-2.015,0,1.0,1.0,1.0,False
Kendall,drugs,GPT-Law,Hybrid-Full,11,0.5941,0.6451,-0.051,-2.636,0,1.0,1.0,1.0,False
Kendall,drugs,GPT-Law,GPT-Schema,11,0.5941,0.651,-0.0569,-3.012,0,1.0,1.0,1.0,False
Kendall,drugs,GPT-Law,GPT-Free,11,0.5941,0.625,-0.0308,-1.492,1,0.999512,1.0,1.0,False
Kendall,drugs,GPT-Law,Raw-Facts,11,0.5941,0.6183,-0.0241,-1.417,0,1.0,1.0,1.0,False
Kendall,drugs,Raw-Facts,Manual,11,0.6183,0.6693,-0.051,-2.722,0,1.0,1.0,1.0,False
Kendall,drugs,Raw-Facts,Hybrid-Manual,11,0.6183,0.6545,-0.0363,-2.139,0,1.0,1.0,1.0,False
Kendall,drugs,Raw-Facts,Hybrid-Full,11,0.6183,0.6451,-0.0268,-1.452,1,0.999512,1.0,1.0,False
Kendall,drugs,Raw-Facts,GPT-Schema,11,0.6183,0.651,-0.0328,-1.382,0,1.0,1.0,1.0,False
Kendall,drugs,Raw-Facts,GPT-Free,11,0.6183,0.625,-0.0067,-0.506,4,0.92627,1.0,1.0,False
Kendall,drugs,Raw-Facts,GPT-Law,11,0.6183,0.5941,0.0241,1.417,11,0.000488,0.002928,0.002928,True
