setup,domain,rep,model,QWK_Oracle,QWK_CV,C_index,Spearman
EXPANDED N=13,drugs,Hybrid-Manual,gemini_3_flash,0.8211091234347048,0.7972570065593321,0.8930578512396694,0.7611710618604082
EXPANDED N=13,drugs,Hybrid-Manual,gemma3_27b,0.7788203753351206,0.7204161248374512,0.8998347107438016,0.7774049983875804
EXPANDED N=13,drugs,Hybrid-Manual,gemma4_31b_or,0.8302107728337237,0.8134110787172012,0.9171900826446281,0.7975259661854881
EXPANDED N=13,drugs,Hybrid-Manual,llama3_70b,0.7684887459807074,0.69375,0.8638016528925619,0.713681638064124
EXPANDED N=13,drugs,Hybrid-Manual,qwen3_vl_235b_or,0.7684085510688836,0.710509754562618,0.8915702479338843,0.7531922267145019
EXPANDED N=13,drugs,Hybrid-Manual,qwen3_235b_or,0.8260381593714927,0.8260381593714927,0.908099173553719,0.7835501205010684
EXPANDED N=13,drugs,Hybrid-Manual,mistral_large_or,0.7585394581861014,0.718562874251497,0.889090909090909,0.7577038502943546
EXPANDED N=13,drugs,Hybrid-Full,gpt4,0.8323085522638345,0.8260381593714927,0.8909090909090909,0.7580348923756505
EXPANDED N=13,drugs,Hybrid-Full,gpt5mini,0.8016119032858029,0.7422062350119905,0.891900826446281,0.7532259798482417
EXPANDED N=13,drugs,Hybrid-Full,gpt52,0.7749391727493917,0.6768178993163455,0.8877685950413223,0.7492478054196625
EXPANDED N=13,drugs,Hybrid-Full,gpt51_thinking,0.8128509045539614,0.7611940298507462,0.8928925619834711,0.7571605866973288
EXPANDED N=13,drugs,Hybrid-Full,claude_sonnet_4_6,0.8299939283545841,0.7700471698113207,0.9028099173553719,0.7761208046197515
EXPANDED N=13,drugs,Hybrid-Full,gemini_25_pro,0.8136284216656959,0.806338028169014,0.8811570247933884,0.7508978434077848
EXPANDED N=13,drugs,Hybrid-Full,gemini_3_flash,0.7830248883216337,0.7151515151515151,0.8975206611570248,0.7656480730439463
EXPANDED N=13,drugs,Hybrid-Full,gemma3_27b,0.8065650644783119,0.8065650644783119,0.8955371900826447,0.7748265554861566
EXPANDED N=13,drugs,Hybrid-Full,gemma4_31b_or,0.8074534161490683,0.7644927536231884,0.9061157024793388,0.7750682438643484
EXPANDED N=13,drugs,Hybrid-Full,llama3_70b,0.8116539140670983,0.8116539140670983,0.8798347107438017,0.7509466428409314
