A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
Raw-Facts,Hybrid-Manual,11,-0.029963246144574848,-0.7412888953252885,2,0.97900390625,0.99853515625,1.0,Medium,,,weapon,1,AP_PR
Raw-Facts,Hybrid-Full,11,-0.03967961864088074,-1.159664542891944,1,0.99853515625,0.99853515625,1.0,Large,,,weapon,1,AP_PR
Hybrid-Manual,Manual,11,-0.022286077862577323,-1.5203980296420794,0,1.0,1.0,1.0,Large,,,weapon,1,AP_PR
Hybrid-Manual,GPT-Schema,11,-0.003005395904733012,-0.12224654405361209,5,0.740234375,1.0,1.0,Negligible,,,weapon,1,AP_PR
Hybrid-Manual,GPT-Free,11,0.01142342644249996,0.40463816034455763,8,0.0615234375,0.123046875,0.369140625,Small,,,weapon,1,AP_PR
Hybrid-Manual,GPT-Law,11,0.028672305179210357,1.310179788997381,10,0.00341796875,0.0205078125,0.0205078125,Large,✓,✓,weapon,1,AP_PR
Hybrid-Manual,Raw-Facts,11,0.029963246144574848,0.7412888953252885,9,0.02685546875,0.08056640625,0.1611328125,Medium,,,weapon,1,AP_PR
Hybrid-Manual,Hybrid-Full,11,-0.009716372496305888,-0.5498885067665131,4,0.9384765625,1.0,1.0,Medium,,,weapon,1,AP_PR
Hybrid-Full,Manual,11,-0.012569705366271434,-0.7178446708045046,2,0.98388671875,0.98388671875,1.0,Medium,,,weapon,1,AP_PR
Hybrid-Full,GPT-Schema,11,0.006710976591572876,0.21641502833954818,7,0.31884765625,0.38261718749999996,1.0,Small,,,weapon,1,AP_PR
Hybrid-Full,GPT-Free,11,0.02113979893880585,0.8476939535667898,8,0.00927734375,0.0185546875,0.0556640625,Large,✓,,weapon,1,AP_PR
Hybrid-Full,GPT-Law,11,0.03838867767551624,1.6172744599444513,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,weapon,1,AP_PR
Hybrid-Full,Raw-Facts,11,0.03967961864088074,1.159664542891944,10,0.00244140625,0.00732421875,0.0146484375,Large,✓,✓,weapon,1,AP_PR
Hybrid-Full,Hybrid-Manual,11,0.009716372496305888,0.5498885067665131,7,0.07373046875,0.110595703125,0.4423828125,Medium,,,weapon,1,AP_PR
