domain,rep,model,task,F1,AP_PR
drugs,Hybrid-Full,llama3_70b,1,0.7394421440073614,0.8519948694273565
drugs,Hybrid-Full,qwen3_235b,0,0.8454212454212454,0.9336572272319782
drugs,Hybrid-Full,qwen3_235b,1,0.7596324571018339,0.8910851259366797
drugs,Hybrid-Full,qwen_hf,0,0.8116666666666668,0.9266406588135702
drugs,Hybrid-Full,qwen_hf,1,0.7737844611528821,0.877322350970885
weapon,Manual,gpt4,0,0.6885650022492127,0.77487248815609
weapon,Manual,gpt4,1,0.8044283302903994,0.8924105846201398
weapon,Manual,gpt5mini,0,0.6391859172818926,0.7215084710113254
weapon,Manual,gpt5mini,1,0.7322510822510822,0.8436853011951544
weapon,Manual,gpt52,0,0.6846859903381641,0.7959496242312321
weapon,Manual,gpt52,1,0.8458689458689459,0.8785845375876233
weapon,Manual,gpt51_thinking,0,0.7342110177404295,0.8152594519845273
weapon,Manual,gpt51_thinking,1,0.8663322185061316,0.8937846762697852
weapon,Manual,claude_sonnet_4_6,0,0.6545689089032742,0.7477229998335255
weapon,Manual,claude_sonnet_4_6,1,0.8290465949820789,0.8585827222231696
weapon,Manual,gemini_25_pro,0,0.706711855396066,0.7869334648165841
weapon,Manual,gemini_25_pro,1,0.7989563948184638,0.8452585251036139
weapon,Manual,gemini_3_flash,0,0.6553209109730849,0.7527186359292427
weapon,Manual,gemini_3_flash,1,0.8458591217211907,0.8997004100356726
weapon,Manual,gemma3_27b,0,0.49298938098938105,0.6397940906126426
weapon,Manual,gemma3_27b,1,0.8083924217544907,0.771145187475963
weapon,Manual,llama3_70b,0,0.5448282828282828,0.5415723949140504
weapon,Manual,llama3_70b,1,0.724510752688172,0.6716532716019193
weapon,Manual,qwen3_235b,0,0.566937321937322,0.67427956260137
weapon,Manual,qwen3_235b,1,0.7920456693843791,0.8211985117172922
weapon,Manual,qwen_hf,0,0.6473725105304053,0.664445775217183
weapon,Manual,qwen_hf,1,0.7644444444444444,0.8340191354636122
weapon,GPT-Schema,gpt4,0,0.5771970058926581,0.7231042999638073
weapon,GPT-Schema,gpt4,1,0.7577948717948718,0.8227616713694277
weapon,GPT-Schema,gpt5mini,0,0.6723684210526315,0.7053547184133434
weapon,GPT-Schema,gpt5mini,1,0.7745958132045088,0.7561868664218732
weapon,GPT-Schema,gpt52,0,0.7631854145166838,0.7320811176300785
weapon,GPT-Schema,gpt52,1,0.7713896298603944,0.8280874436631922
weapon,GPT-Schema,gpt51_thinking,0,0.6636872930990578,0.7573415864110653
weapon,GPT-Schema,gpt51_thinking,1,0.7365527065527065,0.8000914149659581
weapon,GPT-Schema,claude_sonnet_4_6,0,0.7243550051599588,0.7496699324919696
weapon,GPT-Schema,claude_sonnet_4_6,1,0.7877909530083442,0.7970392092080426
weapon,GPT-Schema,gemini_25_pro,0,0.634132972290867,0.7670755315486103
weapon,GPT-Schema,gemini_25_pro,1,0.7565656565656566,0.8246146116380458
weapon,GPT-Schema,gemini_3_flash,0,0.7506432748538011,0.7692179990573536
weapon,GPT-Schema,gemini_3_flash,1,0.7816187482295718,0.857356097318054
weapon,GPT-Schema,gemma3_27b,0,0.5427390039154745,0.5916040817299668
weapon,GPT-Schema,gemma3_27b,1,0.7403939017208663,0.6750487454564895
weapon,GPT-Schema,llama3_70b,0,0.5022222222222222,0.5041447473298262
weapon,GPT-Schema,llama3_70b,1,0.6536617405582923,0.607648564802265
weapon,GPT-Schema,qwen3_235b,0,0.6629824561403508,0.6572800138359609
weapon,GPT-Schema,qwen3_235b,1,0.7374028122415219,0.7775276691100476
weapon,GPT-Schema,qwen_hf,0,0.5684232434232434,0.641896337547474
weapon,GPT-Schema,qwen_hf,1,0.7111043956043956,0.7320756584046271
weapon,GPT-Free,gpt4,0,0.7152187028657616,0.7554780406523272
weapon,GPT-Free,gpt4,1,0.7181836824502728,0.8336762800381194
weapon,GPT-Free,gpt5mini,0,0.669654528478058,0.679878260809953
weapon,GPT-Free,gpt5mini,1,0.7178617704134945,0.7760833098728257
weapon,GPT-Free,gpt52,0,0.643076923076923,0.7829389037011127
weapon,GPT-Free,gpt52,1,0.7909059755836367,0.8544490842190057
weapon,GPT-Free,gpt51_thinking,0,0.6534952766531713,0.7225123758055153
weapon,GPT-Free,gpt51_thinking,1,0.7495726495726496,0.8203483117728787
weapon,GPT-Free,claude_sonnet_4_6,0,0.61,0.7644126487169289
weapon,GPT-Free,claude_sonnet_4_6,1,0.7681173698864854,0.8512321469206894
weapon,GPT-Free,gemini_25_pro,0,0.6601449275362319,0.6669666044872072
weapon,GPT-Free,gemini_25_pro,1,0.7224116743471583,0.7805081943281664
weapon,GPT-Free,gemini_3_flash,0,0.7318782249742003,0.6484071559698402
weapon,GPT-Free,gemini_3_flash,1,0.7106454465075155,0.8111404043739534
weapon,GPT-Free,gemma3_27b,0,0.6123884810841332,0.534318440672886
weapon,GPT-Free,gemma3_27b,1,0.6844209773671039,0.6928340957516296
weapon,GPT-Free,llama3_70b,0,0.5251209483467547,0.5550102779246566
weapon,GPT-Free,llama3_70b,1,0.679915457979974,0.6977326371529877
weapon,GPT-Free,qwen3_235b,0,0.6749449381028328,0.6958491319140306
weapon,GPT-Free,qwen3_235b,1,0.7617936086901604,0.7810196658652511
