A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
GPT-Free,Raw-Facts,11,-0.018932418391640796,-0.33750745052325437,3,0.91259765625,0.99853515625,1.0,Small,,,weapon,0,F1_CV
GPT-Free,Hybrid-Manual,11,-0.02666314645350578,-0.43225789973526507,4,0.92626953125,0.99853515625,1.0,Small,,,weapon,0,F1_CV
GPT-Free,Hybrid-Full,11,-0.03995694158984007,-1.1453372908431307,1,0.99658203125,0.99853515625,1.0,Large,,,weapon,0,F1_CV
GPT-Law,Manual,11,-0.053148813752882426,-0.9593675208613922,1,0.9951171875,0.9951171875,1.0,Large,,,weapon,0,F1_CV
GPT-Law,GPT-Schema,11,-0.024546445560717077,-0.6515070063446015,4,0.96630859375,0.9951171875,1.0,Medium,,,weapon,0,F1_CV
GPT-Law,GPT-Free,11,0.010199535874954339,0.22872463297516657,7,0.28857421875,0.9951171875,1.0,Small,,,weapon,0,F1_CV
GPT-Law,Raw-Facts,11,-0.008732882516686458,-0.1492957794861496,6,0.71142578125,0.9951171875,1.0,Negligible,,,weapon,0,F1_CV
GPT-Law,Hybrid-Manual,11,-0.016463610578551443,-0.30933731105509515,5,0.83984375,0.9951171875,1.0,Small,,,weapon,0,F1_CV
GPT-Law,Hybrid-Full,11,-0.02975740571488573,-0.5834435917324581,4,0.96630859375,0.9951171875,1.0,Medium,,,weapon,0,F1_CV
Raw-Facts,Manual,11,-0.044415931236195964,-0.5777704013934469,2,0.97900390625,0.97900390625,1.0,Medium,,,weapon,0,F1_CV
Raw-Facts,GPT-Schema,11,-0.01581356304403062,-0.2894452729272435,3,0.89697265625,0.97900390625,1.0,Small,,,weapon,0,F1_CV
Raw-Facts,GPT-Free,11,0.018932418391640796,0.33750745052325437,8,0.10302734375,0.6181640625,0.6181640625,Small,,,weapon,0,F1_CV
Raw-Facts,GPT-Law,11,0.008732882516686458,0.1492957794861496,5,0.31884765625,0.95654296875,1.0,Negligible,,,weapon,0,F1_CV
Raw-Facts,Hybrid-Manual,11,-0.007730728061864983,-0.11526904774623714,6,0.61767578125,0.97900390625,1.0,Negligible,,,weapon,0,F1_CV
Raw-Facts,Hybrid-Full,11,-0.021024523198199273,-0.3135432079078637,3,0.89697265625,0.97900390625,1.0,Small,,,weapon,0,F1_CV
Hybrid-Manual,Manual,11,-0.03668520317433099,-0.6367192991569007,4,0.98388671875,0.98388671875,1.0,Medium,,,weapon,0,F1_CV
Hybrid-Manual,GPT-Schema,11,-0.008082834982165636,-0.12614281204140407,6,0.5390625,0.80859375,1.0,Negligible,,,weapon,0,F1_CV
Hybrid-Manual,GPT-Free,11,0.02666314645350578,0.43225789973526507,7,0.08740234375,0.5244140625,0.5244140625,Small,,,weapon,0,F1_CV
Hybrid-Manual,GPT-Law,11,0.016463610578551443,0.30933731105509515,6,0.1826171875,0.5478515625,1.0,Small,,,weapon,0,F1_CV
Hybrid-Manual,Raw-Facts,11,0.007730728061864983,0.11526904774623714,5,0.41552734375,0.80859375,1.0,Negligible,,,weapon,0,F1_CV
Hybrid-Manual,Hybrid-Full,11,-0.01329379513633429,-0.24524993787089938,5,0.8173828125,0.980859375,1.0,Small,,,weapon,0,F1_CV
Hybrid-Full,Manual,11,-0.023391408037996695,-0.5521982185246191,5,0.92626953125,0.92626953125,1.0,Medium,,,weapon,0,F1_CV
Hybrid-Full,GPT-Schema,11,0.005210960154168654,0.13108527743725082,5,0.44921875,0.5390625,1.0,Negligible,,,weapon,0,F1_CV
Hybrid-Full,GPT-Free,11,0.03995694158984007,1.1453372908431307,10,0.0048828125,0.029296875,0.029296875,Large,✓,✓,weapon,0,F1_CV
Hybrid-Full,GPT-Law,11,0.02975740571488573,0.5834435917324581,7,0.04150390625,0.12451171875,0.2490234375,Medium,,,weapon,0,F1_CV
Hybrid-Full,Raw-Facts,11,0.021024523198199273,0.3135432079078637,8,0.1201171875,0.240234375,0.720703125,Small,,,weapon,0,F1_CV
Hybrid-Full,Hybrid-Manual,11,0.01329379513633429,0.24524993787089938,6,0.20654296875,0.309814453125,1.0,Small,,,weapon,0,F1_CV
Manual,GPT-Schema,11,0.027433790210717398,0.7848560008323318,9,0.01220703125,0.018310546875,0.0732421875,Medium,✓,,weapon,1,F1_CV
Manual,GPT-Free,11,0.04321871569329452,1.7451649099569486,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,weapon,1,F1_CV
Manual,GPT-Law,11,0.03524964826821681,1.209985198196414,10,0.0009765625,0.0029296875,0.005859375,Large,✓,✓,weapon,1,F1_CV
Manual,Raw-Facts,11,0.04263991938451575,0.9119666267567602,8,0.00927734375,0.018310546875,0.0556640625,Large,✓,,weapon,1,F1_CV
Manual,Hybrid-Manual,11,0.022823765510922165,0.5720458424855691,8,0.03369140625,0.0404296875,0.2021484375,Medium,✓,,weapon,1,F1_CV
Manual,Hybrid-Full,11,0.007524285607713596,0.246635100483029,6,0.259765625,0.259765625,1.0,Small,,,weapon,1,F1_CV
GPT-Schema,Manual,11,-0.027433790210717398,-0.7848560008323318,2,0.99072265625,0.99072265625,1.0,Medium,,,weapon,1,F1_CV
GPT-Schema,GPT-Free,11,0.01578492548257712,0.38610876319024806,9,0.07373046875,0.4423828125,0.4423828125,Small,,,weapon,1,F1_CV
GPT-Schema,GPT-Law,11,0.007815858057499413,0.20832469300268777,7,0.38232421875,0.7646484375,1.0,Small,,,weapon,1,F1_CV
GPT-Schema,Raw-Facts,11,0.015206129173798356,0.24489748403631115,5,0.31884765625,0.7646484375,1.0,Small,,,weapon,1,F1_CV
GPT-Schema,Hybrid-Manual,11,-0.004610024699795232,-0.12322786995596843,5,0.71142578125,0.99072265625,1.0,Negligible,,,weapon,1,F1_CV
GPT-Schema,Hybrid-Full,11,-0.0199095046030038,-0.3716515278942564,2,0.94921875,0.99072265625,1.0,Small,,,weapon,1,F1_CV
GPT-Free,Manual,11,-0.04321871569329452,-1.7451649099569486,0,1.0,1.0,1.0,Large,,,weapon,1,F1_CV
GPT-Free,GPT-Schema,11,-0.01578492548257712,-0.38610876319024806,2,0.9384765625,1.0,1.0,Small,,,weapon,1,F1_CV
GPT-Free,GPT-Law,11,-0.007969067425077707,-0.21687793183457876,3,0.86083984375,1.0,1.0,Small,,,weapon,1,F1_CV
GPT-Free,Raw-Facts,11,-0.0005787963087787628,-0.01047965159614308,6,0.41552734375,1.0,1.0,Negligible,,,weapon,1,F1_CV
GPT-Free,Hybrid-Manual,11,-0.020394950182372352,-0.5760245015428036,4,0.92626953125,1.0,1.0,Medium,,,weapon,1,F1_CV
GPT-Free,Hybrid-Full,11,-0.035694430085580924,-0.9600192217689744,2,0.9951171875,1.0,1.0,Large,,,weapon,1,F1_CV
GPT-Law,Manual,11,-0.03524964826821681,-1.209985198196414,1,0.99951171875,0.99951171875,1.0,Large,,,weapon,1,F1_CV
GPT-Law,GPT-Schema,11,-0.007815858057499413,-0.20832469300268777,4,0.64990234375,0.99951171875,1.0,Small,,,weapon,1,F1_CV
GPT-Law,GPT-Free,11,0.007969067425077707,0.21687793183457876,8,0.16015625,0.9609375,0.9609375,Small,,,weapon,1,F1_CV
GPT-Law,Raw-Facts,11,0.007390271116298944,0.16680841624866188,5,0.41552734375,0.99951171875,1.0,Negligible,,,weapon,1,F1_CV
GPT-Law,Hybrid-Manual,11,-0.012425882757294645,-0.31863675527558366,5,0.8173828125,0.99951171875,1.0,Small,,,weapon,1,F1_CV
GPT-Law,Hybrid-Full,11,-0.027725362660503215,-0.8562060797723737,3,0.99072265625,0.99951171875,1.0,Large,,,weapon,1,F1_CV
Raw-Facts,Manual,11,-0.04263991938451575,-0.9119666267567602,3,0.9931640625,0.99951171875,1.0,Large,,,weapon,1,F1_CV
Raw-Facts,GPT-Schema,11,-0.015206129173798356,-0.24489748403631115,6,0.71142578125,0.99951171875,1.0,Small,,,weapon,1,F1_CV
Raw-Facts,GPT-Free,11,0.0005787963087787628,0.01047965159614308,5,0.61767578125,0.99951171875,1.0,Negligible,,,weapon,1,F1_CV
Raw-Facts,GPT-Law,11,-0.007390271116298944,-0.16680841624866188,6,0.61767578125,0.99951171875,1.0,Negligible,,,weapon,1,F1_CV
Raw-Facts,Hybrid-Manual,11,-0.01981615387359359,-0.32819749185156394,4,0.86083984375,0.99951171875,1.0,Small,,,weapon,1,F1_CV
Raw-Facts,Hybrid-Full,11,-0.03511563377680216,-1.1379568961310613,1,0.99951171875,0.99951171875,1.0,Large,,,weapon,1,F1_CV
Hybrid-Manual,Manual,11,-0.022823765510922165,-0.5720458424855691,3,0.97314453125,0.97314453125,1.0,Medium,,,weapon,1,F1_CV
Hybrid-Manual,GPT-Schema,11,0.004610024699795232,0.12322786995596843,6,0.31884765625,0.478271484375,1.0,Negligible,,,weapon,1,F1_CV
Hybrid-Manual,GPT-Free,11,0.020394950182372352,0.5760245015428036,7,0.08740234375,0.4130859375,0.5244140625,Medium,,,weapon,1,F1_CV
Hybrid-Manual,GPT-Law,11,0.012425882757294645,0.31863675527558366,6,0.20654296875,0.4130859375,1.0,Small,,,weapon,1,F1_CV
Hybrid-Manual,Raw-Facts,11,0.01981615387359359,0.32819749185156394,7,0.16015625,0.4130859375,0.9609375,Small,,,weapon,1,F1_CV
Hybrid-Manual,Hybrid-Full,11,-0.015299479903208568,-0.346479125019105,3,0.8798828125,0.97314453125,1.0,Small,,,weapon,1,F1_CV
Hybrid-Full,Manual,11,-0.007524285607713596,-0.246635100483029,5,0.767578125,0.767578125,1.0,Small,,,weapon,1,F1_CV
Hybrid-Full,GPT-Schema,11,0.0199095046030038,0.3716515278942564,9,0.0615234375,0.09228515625,0.369140625,Small,,,weapon,1,F1_CV
Hybrid-Full,GPT-Free,11,0.035694430085580924,0.9600192217689744,9,0.0068359375,0.0205078125,0.041015625,Large,✓,✓,weapon,1,F1_CV
Hybrid-Full,GPT-Law,11,0.027725362660503215,0.8562060797723737,8,0.01220703125,0.0244140625,0.0732421875,Large,✓,,weapon,1,F1_CV
Hybrid-Full,Raw-Facts,11,0.03511563377680216,1.1379568961310613,10,0.0009765625,0.005859375,0.005859375,Large,✓,✓,weapon,1,F1_CV
Hybrid-Full,Hybrid-Manual,11,0.015299479903208568,0.346479125019105,8,0.13916015625,0.1669921875,0.8349609375,Small,,,weapon,1,F1_CV
