query,domain,fold,year,method,err_lo,err_hi
תפ_24895-03-20,drugs,1,2020.0,global_median,1.0,6.0
תפ_24895-03-20,drugs,1,2020.0,random_llm,0.5,1.0
תפ_24895-03-20,drugs,1,2020.0,citation_llm,0.0,2.0
תפ_24895-03-20,drugs,1,2020.0,sup_only,0.0,1.0
תפ_24895-03-20,drugs,1,2020.0,sup_llm,0.0,0.0
תפ_24895-03-20,drugs,1,2020.0,llm_best,1.0,2.0
תפ_24895-03-20,drugs,1,2020.0,tfidf_ridge,0.846306661072747,3.3823628602347036
תפ_24895-03-20,drugs,1,2020.0,bm25,1.0,0.0
תפ_24895-03-20,drugs,1,2020.0,offense_matched_random,2.5,9.0
תפ_30637-02-21,drugs,1,2021.0,global_median,63.0,84.0
תפ_30637-02-21,drugs,1,2021.0,random_llm,42.0,48.0
תפ_30637-02-21,drugs,1,2021.0,citation_llm,48.0,59.0
תפ_30637-02-21,drugs,1,2021.0,sup_only,54.0,68.0
תפ_30637-02-21,drugs,1,2021.0,sup_llm,53.0,66.0
תפ_30637-02-21,drugs,1,2021.0,llm_best,36.0,42.0
תפ_30637-02-21,drugs,1,2021.0,tfidf_ridge,51.7825082480767,66.9215588316993
תפ_30637-02-21,drugs,1,2021.0,bm25,64.5,84.0
תפ_30637-02-21,drugs,1,2021.0,offense_matched_random,64.0,90.0
תפ_18216-09-16,drugs,1,2016.0,global_median,9.0,12.0
תפ_18216-09-16,drugs,1,2016.0,random_llm,0.0,0.0
תפ_18216-09-16,drugs,1,2016.0,citation_llm,8.0,8.0
תפ_18216-09-16,drugs,1,2016.0,sup_only,1.5,3.0
תפ_18216-09-16,drugs,1,2016.0,sup_llm,4.0,2.0
תפ_18216-09-16,drugs,1,2016.0,llm_best,6.0,5.0
תפ_18216-09-16,drugs,1,2016.0,tfidf_ridge,10.117005295996671,13.385757708557847
תפ_18216-09-16,drugs,1,2016.0,bm25,5.5,6.0
תפ_18216-09-16,drugs,1,2016.0,offense_matched_random,9.0,12.0
תפ_9109-02-16,drugs,1,2016.0,global_median,51.0,72.0
תפ_9109-02-16,drugs,1,2016.0,random_llm,40.0,24.0
תפ_9109-02-16,drugs,1,2016.0,citation_llm,25.5,36.0
תפ_9109-02-16,drugs,1,2016.0,sup_only,13.0,15.0
תפ_9109-02-16,drugs,1,2016.0,sup_llm,18.0,21.0
תפ_9109-02-16,drugs,1,2016.0,llm_best,24.0,36.0
תפ_9109-02-16,drugs,1,2016.0,tfidf_ridge,39.737549240022005,54.82209574220613
תפ_9109-02-16,drugs,1,2016.0,bm25,46.0,66.0
תפ_9109-02-16,drugs,1,2016.0,offense_matched_random,47.0,68.0
תפ_62070-05-20,drugs,1,2020.0,global_median,5.0,12.0
תפ_62070-05-20,drugs,1,2020.0,random_llm,2.0,6.0
תפ_62070-05-20,drugs,1,2020.0,citation_llm,8.0,10.0
תפ_62070-05-20,drugs,1,2020.0,sup_only,2.0,6.0
תפ_62070-05-20,drugs,1,2020.0,sup_llm,2.0,6.0
תפ_62070-05-20,drugs,1,2020.0,llm_best,7.0,7.0
תפ_62070-05-20,drugs,1,2020.0,tfidf_ridge,4.57934814024196,12.69295746793468
תפ_62070-05-20,drugs,1,2020.0,bm25,5.5,14.0
תפ_62070-05-20,drugs,1,2020.0,offense_matched_random,7.0,19.0
תפ_53692-11-14,drugs,1,2014.0,global_median,3.0,4.0
תפ_53692-11-14,drugs,1,2014.0,random_llm,5.0,10.0
תפ_53692-11-14,drugs,1,2014.0,citation_llm,18.0,32.0
תפ_53692-11-14,drugs,1,2014.0,sup_only,0.0,8.0
תפ_53692-11-14,drugs,1,2014.0,sup_llm,0.0,8.0
תפ_53692-11-14,drugs,1,2014.0,llm_best,2.5,4.0
תפ_53692-11-14,drugs,1,2014.0,tfidf_ridge,2.181777128063459,3.4869024687339483
תפ_53692-11-14,drugs,1,2014.0,bm25,2.0,1.0
תפ_50860-02-20,drugs,1,2020.0,global_median,9.0,10.0
תפ_50860-02-20,drugs,1,2020.0,random_llm,18.0,22.0
תפ_50860-02-20,drugs,1,2020.0,citation_llm,8.0,4.0
תפ_50860-02-20,drugs,1,2020.0,sup_only,6.0,4.0
תפ_50860-02-20,drugs,1,2020.0,sup_llm,6.0,2.0
תפ_50860-02-20,drugs,1,2020.0,llm_best,6.0,1.0
תפ_50860-02-20,drugs,1,2020.0,tfidf_ridge,14.20245487518051,17.11054746943681
תפ_50860-02-20,drugs,1,2020.0,bm25,12.0,13.0
תפ_50860-02-20,drugs,1,2020.0,offense_matched_random,6.0,4.0
תפ_37176-11-17,drugs,1,2017.0,global_median,45.0,54.0
תפ_37176-11-17,drugs,1,2017.0,random_llm,54.0,72.0
תפ_37176-11-17,drugs,1,2017.0,citation_llm,27.0,24.0
תפ_37176-11-17,drugs,1,2017.0,sup_only,40.0,47.0
תפ_37176-11-17,drugs,1,2017.0,sup_llm,41.5,48.0
תפ_37176-11-17,drugs,1,2017.0,llm_best,15.0,9.0
תפ_37176-11-17,drugs,1,2017.0,tfidf_ridge,40.184879587949276,47.15722995970694
תפ_37176-11-17,drugs,1,2017.0,bm25,38.5,44.0
תפ_37176-11-17,drugs,1,2017.0,offense_matched_random,46.0,60.0
תפ_22433-05-18,drugs,1,2018.0,global_median,36.0,51.0
תפ_22433-05-18,drugs,1,2018.0,random_llm,21.0,3.0
תפ_22433-05-18,drugs,1,2018.0,citation_llm,1.5,9.0
תפ_22433-05-18,drugs,1,2018.0,sup_only,2.0,9.5
תפ_22433-05-18,drugs,1,2018.0,sup_llm,3.0,9.0
תפ_22433-05-18,drugs,1,2018.0,llm_best,3.0,9.0
תפ_22433-05-18,drugs,1,2018.0,tfidf_ridge,19.560791042781002,25.71541053341838
תפ_22433-05-18,drugs,1,2018.0,bm25,2.0,6.0
תפ_22433-05-18,drugs,1,2018.0,offense_matched_random,37.0,51.0
תפ_32581-06-20,drugs,1,2020.0,global_median,9.0,12.0
תפ_32581-06-20,drugs,1,2020.0,random_llm,6.0,12.0
תפ_32581-06-20,drugs,1,2020.0,citation_llm,24.0,42.0
תפ_32581-06-20,drugs,1,2020.0,sup_only,9.0,21.0
תפ_32581-06-20,drugs,1,2020.0,sup_llm,12.0,24.0
תפ_32581-06-20,drugs,1,2020.0,llm_best,9.0,24.0
תפ_32581-06-20,drugs,1,2020.0,tfidf_ridge,0.37687876983516944,2.6747106175579205
תפ_32581-06-20,drugs,1,2020.0,bm25,7.0,18.0
תפ_53090-10-19,drugs,1,2019.0,global_median,11.0,20.0
תפ_53090-10-19,drugs,1,2019.0,random_llm,2.0,8.0
תפ_53090-10-19,drugs,1,2019.0,citation_llm,28.0,37.0
תפ_53090-10-19,drugs,1,2019.0,sup_only,5.0,14.0
תפ_53090-10-19,drugs,1,2019.0,sup_llm,5.0,14.0
תפ_53090-10-19,drugs,1,2019.0,llm_best,2.0,4.0
תפ_53090-10-19,drugs,1,2019.0,tfidf_ridge,0.26465422620801604,2.4661189902468834
תפ_53090-10-19,drugs,1,2019.0,bm25,10.0,5.0
תפ_53090-10-19,drugs,1,2019.0,offense_matched_random,14.0,28.0
תפ_65386-09-19,drugs,1,2019.0,global_median,15.0,16.0
תפ_65386-09-19,drugs,1,2019.0,random_llm,12.0,13.0
תפ_65386-09-19,drugs,1,2019.0,citation_llm,7.0,10.0
תפ_65386-09-19,drugs,1,2019.0,sup_only,12.0,16.0
תפ_65386-09-19,drugs,1,2019.0,sup_llm,12.0,16.0
תפ_65386-09-19,drugs,1,2019.0,llm_best,12.0,14.0
תפ_65386-09-19,drugs,1,2019.0,tfidf_ridge,12.539691188862573,14.300951184734533
