sweep,filter,domain,K,n_total,n_pred,coverage,mae_lo,mae_hi
K,llm_top,drugs,3,2713,2713,1.0,5.533726502027276,8.572429045337264
K,llm_top,weapon,3,1719,1719,1.0,13.306573589296102,18.689936009307736
K,llm_top,drugs,5,2713,2713,1.0,5.291927755252488,8.22300036859565
K,llm_top,weapon,5,1719,1719,1.0,12.410122164048866,17.69633507853403
K,llm_top,drugs,10,2713,2713,1.0,5.12108367121268,8.055289347585699
K,llm_top,weapon,10,1719,1719,1.0,12.12129144851658,17.42262943571844
K,llm_top,drugs,15,2713,2713,1.0,5.097309251750829,7.940656100258017
K,llm_top,weapon,15,1719,1719,1.0,12.065735892961024,17.22978475858057
K,llm_top,drugs,20,2713,2713,1.0,5.081459638776263,7.916144489495024
K,llm_top,weapon,20,1719,1719,1.0,12.164921465968586,17.352239674229203
K,llm_top,drugs,30,2713,2713,1.0,5.091780316992259,7.9638776262440105
K,llm_top,weapon,30,1719,1719,1.0,12.223967422920303,17.5
K,llm_top,drugs,50,2713,2713,1.0,5.122005160339108,7.9762255805381495
K,llm_top,weapon,50,1719,1719,1.0,12.538103548574753,18.17801047120419
