v1,v2,domain,cit_type,d_lo,d_hi
תפ_17941-11-18,תפ_51506-01-22,weapon,"1hop,cocite",2.0,2.0
תפ_24044-06-22,תפ_40082-02-22,weapon,cocite,8.0,14.0
תפ_63953-01-24,תפ_69777-03-23,weapon,cocite,3.0,8.0
תפ_17766-12-20,תפ_47284-06-18,weapon,"2hop,cocite",3.0,12.0
תפ_61118-07-23,תפ_64119-05-21,weapon,cocite,0.0,0.0
תפ_43338-05-16,תפ_55664-02-14,weapon,cocite,5.0,16.0
תפ_13939-07-18,תפ_62134-03-19,drugs,"1hop,cocite",2.0,6.0
תפ_63305-08-22,תפ_7942-05-18,weapon,2hop,24.0,16.0
תפ_2599-09-17,תפ_3256-16,drugs,cocite,24.0,48.0
תפ_1294-04-22,תפ_15710-09-21,weapon,cocite,1.0,6.0
תפ_30003-03-22,תפח_52360-06-20,weapon,cocite,54.0,60.0
תפ_34027-04-18,תפ_50330-07-18,weapon,cocite,9.0,18.0
תפ_21594-06-16,תפח_17033-01-22,weapon,cocite,52.0,90.0
תפ_10875-12-21,תפ_1139-06-23,weapon,cocite,39.0,4.0
תפ_15842-11-20,תפ_45095-04-16,weapon,2hop,38.0,60.0
תפ_2144-04-21,תפ_32907-12-20,weapon,cocite,2.0,0.0
תפ_30617-02-22,תפ_32775-09-23,weapon,cocite,46.0,66.0
תפ_12615-11-21,תפ_22417-12-21,weapon,cocite,7.0,4.0
תפ_60820-07-14,תפ_6514-03-23,weapon,cocite,36.0,48.0
תפ_12743-08-22,תפ_52000-02-15,weapon,cocite,64.0,94.0
תפ_10171-06-22,תפ_54132-03-21,weapon,cocite,68.0,78.0
תפ_30015-07-16,תפח_52360-06-20,weapon,cocite,60.0,78.0
תפ_11739-03-21,תפ_28615-01-22,drugs,cocite,36.0,66.0
תפ_32659-05-18,תפ_51306-12-18,weapon,cocite,68.0,96.0
תפ_29898-02-14,תפ_51228-09-11,weapon,cocite,3.0,12.0
תפ_35473-12-21,תפ_46250-11-21,weapon,cocite,11.0,9.0
תפ_30538-02-19,תפ_3256-16,drugs,cocite,6.0,18.0
תפ_52322-10-23,תפ_68096-11-21,weapon,cocite,2.0,2.0
תפ_23253-12-15,תפח_53698-03-17,weapon,cocite,68.0,78.0
תפ_19821-02-17,תפ_51088-03-21,weapon,cocite,15.0,12.0
תפ_3002-09-20,תפ_50071-08-16,weapon,cocite,6.0,12.0
תפ_28845-04-22,תפ_60581-11-15,weapon,cocite,15.0,26.0
תפ_1589-02-16,תפ_66310-07-17,weapon,cocite,6.0,6.0
תפ_16020-10-22,תפ_37104-06-22,weapon,cocite,20.0,18.0
תפ_35397-07-21,תפ_4795-12-17,weapon,cocite,48.0,114.0
תפ_18957-11-20,תפ_33337-07-23,weapon,cocite,18.0,12.0
תפ_39568-06-21,תפ_65884-10-13,drugs,cocite,10.0,36.0
תפ_29772-11-13,תפ_39500-07-20,weapon,cocite,10.0,22.0
תפ_13502-02-12,תפ_25852-11-10,weapon,cocite,1.0,2.0
תפ_11843-03-20,תפ_59464-09-23,weapon,cocite,20.0,22.0
